"Country","Continent","Status","Life.expectancy","GDP","Schooling"
"Afghanistan","Asia","Developing",65,584.25921,10.1
"Afghanistan","Asia","Developing",59.9,612.696514,10
"Afghanistan","Asia","Developing",59.9,631.744976,9.9
"Afghanistan","Asia","Developing",59.5,669.959,9.8
"Afghanistan","Asia","Developing",59.2,63.537231,9.5
"Afghanistan","Asia","Developing",58.8,553.32894,9.2
"Afghanistan","Asia","Developing",58.6,445.8932979,8.9
"Afghanistan","Asia","Developing",58.1,373.3611163,8.7
"Afghanistan","Asia","Developing",57.5,369.835796,8.4
"Afghanistan","Asia","Developing",57.3,272.56377,8.1
"Afghanistan","Asia","Developing",57.3,25.2941299,7.9
"Afghanistan","Asia","Developing",57,219.1413528,6.8
"Afghanistan","Asia","Developing",56.7,198.7285436,6.5
"Afghanistan","Asia","Developing",56.2,187.84595,6.2
"Afghanistan","Asia","Developing",55.3,117.49698,5.9
"Afghanistan","Asia","Developing",54.8,114.56,5.5
"Albania","Europe","Developing",77.8,3954.22783,14.2
"Albania","Europe","Developing",77.5,4575.763787,14.2
"Albania","Europe","Developing",77.2,4414.72314,14.2
"Albania","Europe","Developing",76.9,4247.61438,14.2
"Albania","Europe","Developing",76.6,4437.17868,13.3
"Albania","Europe","Developing",76.2,494.358832,12.5
"Albania","Europe","Developing",76.1,4114.136545,12.2
"Albania","Europe","Developing",75.3,437.539647,12
"Albania","Europe","Developing",75.9,363.13685,11.6
"Albania","Europe","Developing",74.2,35.1293,11.4
"Albania","Europe","Developing",73.5,279.142931,10.8
"Albania","Europe","Developing",73,2416.588235,10.9
"Albania","Europe","Developing",72.8,189.681557,10.7
"Albania","Europe","Developing",73.3,1453.642777,10.7
"Albania","Europe","Developing",73.6,1326.97339,10.6
"Albania","Europe","Developing",72.6,1175.788981,10.7
"Algeria","Africa","Developing",75.6,4132.76292,14.4
"Algeria","Africa","Developing",75.4,547.8517,14.4
"Algeria","Africa","Developing",75.3,5471.866766,14.4
"Algeria","Africa","Developing",75.1,5564.82566,14.4
"Algeria","Africa","Developing",74.9,5432.2523,14
"Algeria","Africa","Developing",74.7,4463.394675,13.6
"Algeria","Africa","Developing",74.4,3868.83123,13.1
"Algeria","Africa","Developing",74.1,495.254866,12.6
"Algeria","Africa","Developing",73.8,3935.183343,12.3
"Algeria","Africa","Developing",73.4,3464.6179,12.3
"Algeria","Africa","Developing",72.9,31.122378,12
"Algeria","Africa","Developing",72.3,2598.9823,11.7
"Algeria","Africa","Developing",71.7,294.33556,11.5
"Algeria","Africa","Developing",71.6,1774.33673,11.1
"Algeria","Africa","Developing",71.4,1732.857979,10.9
"Algeria","Africa","Developing",71.3,1757.17797,10.7
"Angola","Africa","Developing",52.4,3695.793748,11.4
"Angola","Africa","Developing",51.7,479.31224,11.4
"Angola","Africa","Developing",51.1,484.616884,11.4
"Angola","Africa","Developing",56,4598.249988,10.3
"Angola","Africa","Developing",51,4299.12889,9.4
"Angola","Africa","Developing",49.6,3529.53482,9
"Angola","Africa","Developing",49.1,3347.84485,8.5
"Angola","Africa","Developing",48.7,3868.578883,8.1
"Angola","Africa","Developing",48.2,2878.837144,7.7
"Angola","Africa","Developing",47.7,262.415149,7.2
"Angola","Africa","Developing",47.4,1443.991929,6.8
"Angola","Africa","Developing",47.1,141.86844,6.4
"Angola","Africa","Developing",46.8,779.468356,5.9
"Angola","Africa","Developing",46.5,711.181716,5.5
"Angola","Africa","Developing",45.7,526.168743,5.1
"Angola","Africa","Developing",45.3,555.2969419,4.6
"Antigua and Barbuda","Americas","Developing",76.4,13566.9541,13.9
"Antigua and Barbuda","Americas","Developing",76.2,12888.29667,13.9
"Antigua and Barbuda","Americas","Developing",76.1,12224.86416,13.9
"Antigua and Barbuda","Americas","Developing",75.9,12565.44197,13.8
"Antigua and Barbuda","Americas","Developing",75.7,11929.34991,14.1
"Antigua and Barbuda","Americas","Developing",75.6,12126.87614,14.1
"Antigua and Barbuda","Americas","Developing",75.4,1312.46692,14.2
"Antigua and Barbuda","Americas","Developing",75.2,1473.31923,14.4
"Antigua and Barbuda","Americas","Developing",75,14252.29452,14.5
"Antigua and Barbuda","Americas","Developing",74.8,12724.39377,14.7
"Antigua and Barbuda","Americas","Developing",74.6,11371.93895,0
"Antigua and Barbuda","Americas","Developing",74.4,1352.8374,0
"Antigua and Barbuda","Americas","Developing",74.2,9739.82556,0
"Antigua and Barbuda","Americas","Developing",74,9386.716452,0
"Antigua and Barbuda","Americas","Developing",73.8,9358.154162,0
"Antigua and Barbuda","Americas","Developing",73.6,9875.161736,0
"Argentina","Americas","Developing",76.3,13467.1236,17.3
"Argentina","Americas","Developing",76.2,12245.25645,17.3
"Argentina","Americas","Developing",76,12976.63642,17.3
"Argentina","Americas","Developing",75.9,12969.7712,17.2
"Argentina","Americas","Developing",75.7,12726.9836,17.1
"Argentina","Americas","Developing",75.5,1276.265,16.8
"Argentina","Americas","Developing",75.6,8161.36966,16.5
"Argentina","Americas","Developing",75.4,8953.359275,16.3
"Argentina","Americas","Developing",74.8,7193.61764,16.3
"Argentina","Americas","Developing",75.2,5878.76127,16.1
"Argentina","Americas","Developing",74.9,576.883829,16.3
"Argentina","Americas","Developing",74.7,4251.574348,16.3
"Argentina","Americas","Developing",74.1,333.4376,16.4
"Argentina","Americas","Developing",74.1,2579.193168,16.3
"Argentina","Americas","Developing",74,717.694674,15.6
"Argentina","Americas","Developing",74.1,7669.273916,15
"Armenia","Asia","Developing",74.8,369.654776,12.7
"Armenia","Asia","Developing",74.6,3994.712355,12.7
"Armenia","Asia","Developing",74.4,3843.591213,12.7
"Armenia","Asia","Developing",74.4,3684.8481,12.7
"Armenia","Asia","Developing",73.9,3526.978143,12.7
"Armenia","Asia","Developing",73.5,3218.381655,12.3
"Armenia","Asia","Developing",73.3,2993.832531,11.9
"Armenia","Asia","Developing",73.2,41.26997,12.3
"Armenia","Asia","Developing",73.5,3138.8873,11.7
"Armenia","Asia","Developing",72.9,2158.299,11.2
"Armenia","Asia","Developing",73,1643.758397,10.9
"Armenia","Asia","Developing",73,1191.96192,10.9
"Armenia","Asia","Developing",72.7,93.1661567,10.8
"Armenia","Asia","Developing",72.6,783.261699,10.8
"Armenia","Asia","Developing",72.6,694.435119,11.1
"Armenia","Asia","Developing",72,622.7427477,11.2
"Australia","Oceania","Developed",82.8,56554.3876,20.4
"Australia","Oceania","Developed",82.7,62214.6912,20.4
"Australia","Oceania","Developed",82.5,67792.3386,20.3
"Australia","Oceania","Developed",82.3,67677.63477,20.1
"Australia","Oceania","Developed",82,62245.129,19.8
"Australia","Oceania","Developed",81.9,51874.848,19.5
"Australia","Oceania","Developed",81.7,42742.99898,19.1
"Australia","Oceania","Developed",81.3,49664.6854,19.1
"Australia","Oceania","Developed",81.3,4991.98289,19
"Australia","Oceania","Developed",81.2,36118.28381,20.3
"Australia","Oceania","Developed",81,3416.71483,20.3
"Australia","Oceania","Developed",86,3472.37977,20.7
"Australia","Oceania","Developed",83,23465.38559,20.6
"Australia","Oceania","Developed",79.9,281.81763,20.1
"Australia","Oceania","Developed",79.9,19517.84168,20.5
"Australia","Oceania","Developed",79.5,2169.921,20.4
"Austria","Europe","Developed",81.5,43665.947,15.9
"Austria","Europe","Developed",81.4,51322.63997,15.9
"Austria","Europe","Developed",81.1,554.71532,15.7
"Austria","Europe","Developed",88,48333.57273,15.7
"Austria","Europe","Developed",88,51126.74139,15.7
"Austria","Europe","Developed",84,46657.629,15.4
"Austria","Europe","Developed",82,47654.18721,15.3
"Austria","Europe","Developed",84,51386.37665,15.1
"Austria","Europe","Developed",81,46586.6525,15.2
"Austria","Europe","Developed",79.8,443.99361,15
"Austria","Europe","Developed",79.4,38242.4252,14.9
"Austria","Europe","Developed",79.3,36693.4262,14.7
"Austria","Europe","Developed",78.8,3212.9355,14.7
"Austria","Europe","Developed",78.7,26351.37568,16.1
"Austria","Europe","Developed",78.6,24489.73553,15.5
"Austria","Europe","Developed",78.1,24517.26745,15.4
"Azerbaijan","Asia","Developing",72.7,55.31382,12.7
"Azerbaijan","Asia","Developing",72.5,7891.299776,12.2
"Azerbaijan","Asia","Developing",72.2,7875.756953,11.9
"Azerbaijan","Asia","Developing",71.9,7496.335728,11.8
"Azerbaijan","Asia","Developing",71.6,7189.691229,11.7
"Azerbaijan","Asia","Developing",71.1,5842.85784,11.7
"Azerbaijan","Asia","Developing",78,495.294791,11.6
"Azerbaijan","Asia","Developing",73,5574.6382,11.6
"Azerbaijan","Asia","Developing",73,3851.437869,11.6
"Azerbaijan","Asia","Developing",69.2,2473.85776,10.7
"Azerbaijan","Asia","Developing",68.4,1578.4239,11.2
"Azerbaijan","Asia","Developing",68.4,145.2163,11
"Azerbaijan","Asia","Developing",67.8,883.6439965,10.8
"Azerbaijan","Asia","Developing",67.8,763.73858,10.6
"Azerbaijan","Asia","Developing",67.5,73.6838434,10.4
"Azerbaijan","Asia","Developing",66.6,655.974326,10.1
"Bahamas","Americas","Developing",76.1,NA,12.6
"Bahamas","Americas","Developing",75.4,NA,12.6
"Bahamas","Americas","Developing",74.8,NA,12.6
"Bahamas","Americas","Developing",74.9,NA,12.6
"Bahamas","Americas","Developing",75,NA,12.6
"Bahamas","Americas","Developing",75,NA,12.6
"Bahamas","Americas","Developing",74.6,NA,12.6
"Bahamas","Americas","Developing",74.5,NA,12.6
"Bahamas","Americas","Developing",74.4,NA,12.5
"Bahamas","Americas","Developing",74.2,NA,12.4
"Bahamas","Americas","Developing",74.1,NA,12.4
"Bahamas","Americas","Developing",73.8,NA,12.3
"Bahamas","Americas","Developing",73.2,NA,12.2
"Bahamas","Americas","Developing",73.1,NA,12.1
"Bahamas","Americas","Developing",72.9,NA,12.1
"Bahamas","Americas","Developing",72.6,NA,12
